,cutoff,AutoARIMA,HoltWinters,SeasonalNaive
0,2022-03-01,0.10894707908070388,0.12122872964655812,0.15582663626159446
1,2022-04-01,0.0938856292374386,0.13177407580032074,0.15058274377113667
2,2022-05-01,0.0955808274205725,0.14505292677217785,0.15486734497922572
3,2022-06-01,0.10184181222516292,0.15556359238125558,0.16589056756671575
4,2022-07-01,0.096338570713578,0.16122066475415328,0.1689103261939903
5,2022-08-01,0.12922711645771207,0.1802645417944981,0.18483759137668632
6,2022-09-01,0.13646166586091368,0.16942445755164415,0.19574910026728207
7,2022-10-01,0.12348638173563989,0.15202127361264875,0.19447665818186188
8,2022-11-01,0.12324701735994638,0.1412840061529843,0.1874758145688979
9,2022-12-01,0.11406559247616384,0.13185444529760826,0.18220863965819276
10,2023-01-01,0.1043924219555619,0.11712985276323332,0.17234982225047699
11,2023-02-01,0.11069408087366019,0.11482469157427218,0.1624449000108815
12,2023-03-01,0.10275736868161096,0.11599594870604872,0.14763947302290287
