,cutoff,AutoARIMA,HoltWinters,SeasonalNaive
0,2022-03-01,0.0837641685207031,0.09436344489520421,0.13350083898957682
1,2022-04-01,0.07616022446007059,0.10756734437166506,0.1308044761871752
2,2022-05-01,0.07495565732268214,0.11830093567545169,0.13431819903799525
3,2022-06-01,0.084653608368608,0.12513698689327185,0.1429436561985311
4,2022-07-01,0.0726804828594151,0.1271920753374127,0.142428704510918
5,2022-08-01,0.1050566104668078,0.13918566064132434,0.1491487187164044
6,2022-09-01,0.09039974356571685,0.12945452943055816,0.15455260731596146
7,2022-10-01,0.07537131074068903,0.11867930899287894,0.15128420216120186
8,2022-11-01,0.07953923051290726,0.11218224351498654,0.14662419807047772
9,2022-12-01,0.08004194858049261,0.1063315511459084,0.13890543032594688
10,2023-01-01,0.07117682966145066,0.09521079219296111,0.13385136887868473
11,2023-02-01,0.08123064727978392,0.08869636492251846,0.12818078156744242
12,2023-03-01,0.07333919298207413,0.09012687812276934,0.11340004735472729
