,cutoff,1m Error,3m Error,6m Error,9m Error,12m Error
0,2022-03-01,0.019166014427198216,0.03608213326726609,0.061629360146412876,0.09395195223656931,0.11333283595352021
1,2022-04-01,0.022812088745654994,0.05766945828405296,0.06779865740569219,0.10161500530044885,0.11044073894792807
2,2022-05-01,0.0240089392371812,0.046069203576392825,0.06618184259835584,0.1002432791010546,0.09666169257683574
3,2022-06-01,0.0667343827502699,0.03432382118820182,0.0691834934834449,0.08446692392815262,0.08078115346238803
4,2022-07-01,0.04615498553300625,0.01933777047808748,0.02258474086060708,0.025739451227247325,0.023521392284256076
5,2022-08-01,0.014291931345564602,0.04775364630866959,0.088882862110547,0.07450495511551566,0.07163798305096675
6,2022-09-01,0.04716449391369547,0.06326985507725665,0.0687834097436839,0.06526021982521785,0.050067230943399314
7,2022-10-01,0.03629128536044483,0.036709433543971666,0.05163882825025589,0.03969514461343677,
8,2022-11-01,0.025711291043839603,0.026441833709985273,0.03432894864669396,0.021681914801762597,
9,2022-12-01,0.00622681761883606,0.028539269912092362,0.02519545040398498,0.006543179488396139,
10,2023-01-01,0.05631719019650727,0.059662903456465306,0.03643663632262939,,
11,2023-02-01,0.04645288449586989,0.03955480447235845,0.020301333437156968,,
12,2023-03-01,0.004378830259131946,0.00567478488870638,0.0287658239767202,,
13,2023-04-01,0.009587651336646307,0.02428665935385275,,,
14,2023-05-01,0.0018695182329613637,0.018370923206453896,,,
15,2023-06-01,0.0424692637054125,0.03564139962557613,,,
16,2023-07-01,0.019576509070547997,,,,
17,2023-08-01,0.040706710121334325,,,,
