,cutoff,1m Error,3m Error,6m Error,9m Error,12m Error
0,2022-03-01,0.05287849371647743,0.026991574453278395,0.03644760256350915,0.04843273915488006,0.05583622836175132
1,2022-04-01,0.020720206349720337,0.01692569916469092,0.03199297480042954,0.039817253025160294,0.05105742964231243
2,2022-05-01,0.008300302927160991,0.020156358791734368,0.036015612588007284,0.041487804691300326,0.052156230886700176
3,2022-06-01,0.03668983130263747,0.036748673221705684,0.048343862486480815,0.05390322727568609,0.05724847754244605
4,2022-07-01,0.02818253572109746,0.03840165145534921,0.04195987794557038,0.05291125017938632,0.047210624299074216
5,2022-08-01,0.027293696288203967,0.04014563255333475,0.04045955291069315,0.05104360092764527,0.043523360203812145
6,2022-09-01,0.04650159254704039,0.041962299421208375,0.04434913123737737,0.045569048778054046,0.03480136683721789
7,2022-10-01,0.028366135963379092,0.027244908918638924,0.042996162404852704,0.032412259538192274,
8,2022-11-01,0.029220391668890785,0.023444170366561778,0.040886601533113985,0.029203352110890566,
9,2022-12-01,0.009721116629368991,0.030693720030365027,0.03144530324430831,0.015787616288207924,
10,2023-01-01,0.02082224035180018,0.05145796819702624,0.028234985616093253,,
11,2023-02-01,0.059471411427460256,0.05039867092037545,0.02530781764844892,,
12,2023-03-01,0.06287046948037268,0.027991440972281907,0.004160519340208373,,
13,2023-04-01,0.013884715963135869,0.0068315407346241815,,,
14,2023-05-01,0.003715184910019173,0.00806811009052485,,,
15,2023-06-01,0.027827309302381763,0.022713550472162693,,,
16,2023-07-01,0.00873510778213585,,,,
17,2023-08-01,0.0483699644961988,,,,
