,cutoff,1m Error,3m Error,6m Error,9m Error,12m Error
0,2022-03-01,0.09334222024735243,0.06923266388958038,0.07571643012869914,0.091820387737122,0.10143070804439165
1,2022-04-01,0.06945868433845032,0.06818134215247953,0.07856005720645573,0.0932079110683575,0.10456058013380091
2,2022-05-01,0.043914919301183415,0.07316432130311407,0.08852702907525646,0.10168893906333912,0.10788899656638129
3,2022-06-01,0.09263090393569968,0.08256915480914741,0.10419772263032083,0.1133962327957766,0.1131636851498947
4,2022-07-01,0.08421251263072034,0.08920463172463414,0.10663872596839008,0.11766145870833034,0.10955124274950016
5,2022-08-01,0.07111154304151782,0.10458605495324648,0.11722644466829858,0.12036702057315408,0.10988698545527145
6,2022-09-01,0.11338477155774553,0.12748402406567655,0.13011307948033124,0.12411327303117389,0.10695683286710715
7,2022-10-01,0.13120582974025102,0.12577433453027717,0.13306061045238937,0.1168358948200174,
8,2022-11-01,0.13884160794107822,0.13097968658525921,0.1286335115296592,0.1117285450978298,
9,2022-12-01,0.1072097372298753,0.13278094371217183,0.12243491369662425,0.1001767491792729,
10,2023-01-01,0.14723682736782673,0.14014630937225228,0.11250880325925526,,
11,2023-02-01,0.14334065102162521,0.12645527710478663,0.10269792608622362,,
12,2023-03-01,0.13033008263062903,0.11246776887348195,0.0844437113491505,,
13,2023-04-01,0.10563087618527565,0.0851135533892605,,,
14,2023-05-01,0.10132828760139546,0.07843468971663133,,,
15,2023-06-01,0.04750393140284926,0.056319571791698886,,,
16,2023-07-01,0.08602639472118798,,,,
17,2023-08-01,0.0356960460351931,,,,
