,cutoff,1m Error,3m Error,6m Error,9m Error,12m Error
0,2022-03-01,0.09032857096571807,0.07967043970339152,0.09436344489520421,0.11751479564737402,0.13700028212847642
1,2022-04-01,0.08708008259409933,0.09039134645254057,0.10756734437166506,0.12778015766797413,0.14394680283644753
2,2022-05-01,0.09341979857204999,0.09698142106067599,0.11830093567545169,0.1390686658585578,0.15255168181975562
3,2022-06-01,0.10154286991906379,0.10248576503695073,0.12513698689327185,0.1417281335301053,0.15389014992959854
4,2022-07-01,0.10809277711872436,0.10927372129130576,0.1271920753374127,0.14165963304092602,0.15262056735971982
5,2022-08-01,0.11167738612647124,0.12435890628932587,0.13918566064132434,0.14863763525411952,0.15800362354844055
6,2022-09-01,0.11877285540337293,0.11940840232109447,0.12945452943055816,0.1386532257966702,0.14634681818146503
7,2022-10-01,0.10539873270870005,0.10876011995251236,0.11867930899287894,0.12761158235016545,
8,2022-11-01,0.09758110867861128,0.10702196398943195,0.11218224351498654,0.11879796551236006,
9,2022-12-01,0.10288023493437025,0.10052162755729813,0.1063315511459084,0.11131558326652279,
10,2023-01-01,0.10753978494602051,0.09254982525112432,0.09521079219296111,,
11,2023-02-01,0.09102218130366085,0.08533262777146704,0.08869636492251846,,
12,2023-03-01,0.09651442806895315,0.0834648851700736,0.09012687812276934,,
13,2023-04-01,0.07682551293667768,0.07556774149298534,,,
14,2023-05-01,0.07676529993480757,0.0760197629077824,,,
15,2023-06-01,0.07569337871992318,0.07348116874245549,,,
16,2023-07-01,0.08291137855050947,,,,
17,2023-08-01,0.0938312855105623,,,,
