,cutoff,1m Error,3m Error,6m Error,9m Error,12m Error
0,2022-03-01,0.08986369649933951,0.07781464039421189,0.0837641685207031,0.10725555315492735,0.12219839912876425
1,2022-04-01,0.046291327769290215,0.06414811400784462,0.07616022446007059,0.10113352055657455,0.11066736409398287
2,2022-05-01,0.04792719957429559,0.05850724409080168,0.07495565732268214,0.1012804687863255,0.10277469897161011
3,2022-06-01,0.0816423577422464,0.06046480092465494,0.084653608368608,0.0980525266389426,0.10091248900703488
4,2022-07-01,0.06022218935085427,0.05492554405981114,0.0726804828594151,0.07761243915949896,0.08238909829691182
5,2022-08-01,0.07167899211946178,0.07659400462324423,0.1050566104668078,0.09902300267363356,0.10059324932193049
6,2022-09-01,0.08335973238279042,0.0870650000807531,0.09039974356571685,0.092144216483973,0.0862127806347284
7,2022-10-01,0.0593625757786143,0.05652093764076478,0.07537131074068903,0.07425177315643265,
8,2022-11-01,0.06270929866502656,0.07472141768590491,0.07953923051290726,0.07539017093316279,
9,2022-12-01,0.07268607354664416,0.08096547641881865,0.08004194858049261,0.07157402661534183,
10,2023-01-01,0.10889924967581117,0.08414729045971711,0.07117682966145066,,
11,2023-02-01,0.08953039298993096,0.08622229879891749,0.08123064727978392,,
12,2023-03-01,0.07769780664108313,0.06775156120284814,0.07333919298207413,,
13,2023-04-01,0.06466784812547399,0.06642222769702048,,,
14,2023-05-01,0.05277032807151354,0.05615063350771034,,,
15,2023-06-01,0.0627580750754653,0.06259987055304704,,,
16,2023-07-01,0.0713578902211272,,,,
17,2023-08-01,0.1084936082684296,,,,
