,cutoff,1m Error,3m Error,6m Error,9m Error,12m Error
0,2022-03-01,0.16440649005039423,0.13553947210748699,0.13350083898957682,0.1344834143623059,0.13393122205730393
1,2022-04-01,0.14253326724205853,0.1309286698628117,0.1308044761871752,0.13145676352260718,0.13143715927017008
2,2022-05-01,0.12407675276408214,0.13864564156607923,0.13431819903799525,0.1367745732401327,0.13284812555722222
3,2022-06-01,0.15068879544266578,0.13995182288993993,0.1429436561985311,0.1424426063673858,0.13691896711744034
4,2022-07-01,0.15884878811290348,0.13859042969127938,0.142428704510918,0.14235023109214334,0.13559888088760927
5,2022-08-01,0.13749642317542551,0.14781475809784703,0.1491487187164044,0.14420381834992266,0.13542378144709988
6,2022-09-01,0.16182883077680654,0.16342487339150735,0.15455260731596146,0.14533386434910947,0.12904408475689358
7,2022-10-01,0.16439172022873125,0.15607499229912045,0.15128420216120186,0.1391361991371785,
8,2022-11-01,0.17396302741156683,0.16006013040758235,0.14662419807047772,0.13395949069467242,
9,2022-12-01,0.14636823140989838,0.15505346995980587,0.13890543032594688,0.1209943609561316,
10,2023-01-01,0.1887220894838167,0.1544659629695444,0.13385136887868473,,
11,2023-02-01,0.1599961345252685,0.1447534821837491,0.12818078156744242,,
12,2023-03-01,0.1569313638917447,0.1355664353072389,0.11340004735472729,,
13,2023-04-01,0.1397519824041216,0.12120413512699117,,,
14,2023-05-01,0.13378358663637216,0.119726931868712,,,
15,2023-06-01,0.11105469122628753,0.10549766539411419,,,
16,2023-07-01,0.1404250285014936,,,,
17,2023-08-01,0.10969522349090145,,,,
