,cutoff,AutoARIMA,HoltWinters,SeasonalNaive
0,2022-03-01,0.03608213326726609,0.026991574453278395,0.06923266388958038
1,2022-04-01,0.05766945828405296,0.01692569916469092,0.06818134215247953
2,2022-05-01,0.046069203576392825,0.020156358791734368,0.07316432130311407
3,2022-06-01,0.03432382118820182,0.036748673221705684,0.08256915480914741
4,2022-07-01,0.01933777047808748,0.03840165145534921,0.08920463172463414
5,2022-08-01,0.04775364630866959,0.04014563255333475,0.10458605495324648
6,2022-09-01,0.06326985507725665,0.041962299421208375,0.12748402406567655
7,2022-10-01,0.036709433543971666,0.027244908918638924,0.12577433453027717
8,2022-11-01,0.026441833709985273,0.023444170366561778,0.13097968658525921
9,2022-12-01,0.028539269912092362,0.030693720030365027,0.13278094371217183
10,2023-01-01,0.059662903456465306,0.05145796819702624,0.14014630937225228
11,2023-02-01,0.03955480447235845,0.05039867092037545,0.12645527710478663
12,2023-03-01,0.00567478488870638,0.027991440972281907,0.11246776887348195
13,2023-04-01,0.02428665935385275,0.0068315407346241815,0.0851135533892605
14,2023-05-01,0.018370923206453896,0.00806811009052485,0.07843468971663133
15,2023-06-01,0.03564139962557613,0.022713550472162693,0.056319571791698886
