,cutoff,1m Error,3m Error,6m Error,9m Error,12m Error
0,2022-03-01,0.10791924766780195,0.10006471812904293,0.10894707908070388,0.13428929585015797,0.15144073458658366
1,2022-04-01,0.07038916249938165,0.08062204776915337,0.0938856292374386,0.12486646097497163,0.13772669733274984
2,2022-05-01,0.07165812033667464,0.07595989771836967,0.0955808274205725,0.12496828487196629,0.1289831047770683
3,2022-06-01,0.10619930532722051,0.07366738082823121,0.10184181222516292,0.11771566861037797,0.12259618393812477
4,2022-07-01,0.08347299312512227,0.0786590815484636,0.096338570713578,0.10251673774462827,0.11000943829796186
5,2022-08-01,0.10372589412956838,0.10218516719556918,0.12922711645771207,0.12747140887771677,0.13268938284945533
6,2022-09-01,0.12440869408083025,0.12680092069832213,0.13646166586091368,0.13880937875985455,0.13561586307715287
7,2022-10-01,0.10623104360380617,0.10404996506405889,0.12348638173563989,0.12543230854272,
8,2022-11-01,0.1132807593000942,0.12443325105970837,0.12324701735994638,0.12160340506243002,
9,2022-12-01,0.116000181980049,0.11512361889514683,0.11406559247616384,0.1135552828224908,
10,2023-01-01,0.16543709202082532,0.11332377748430701,0.1043924219555619,,
11,2023-02-01,0.12918919317258087,0.10997683969711429,0.11069408087366019,,
12,2023-03-01,0.11174046318517813,0.09824117138632787,0.10275736868161096,,
13,2023-04-01,0.09689924509260481,0.09186865124236356,,,
14,2023-05-01,0.10203003592425508,0.08944275590333546,,,
15,2023-06-01,0.09740954742695719,0.09413269902857449,,,
16,2023-07-01,0.1130514728141182,,,,
17,2023-08-01,0.15414844344374037,,,,
