,cutoff,1m Error,3m Error,6m Error,9m Error,12m Error
0,2022-03-01,0.12703243963254093,0.1109133253348557,0.12122872964655812,0.14815203227044527,0.1711336127337342
1,2022-04-01,0.12136003265800265,0.11014542273637089,0.13177407580032074,0.15842700739123272,0.17803736764930128
2,2022-05-01,0.12152355186251355,0.11659493927245382,0.14505292677217785,0.17045435008736354,0.18565617128710538
3,2022-06-01,0.14495712434269917,0.1276742623215122,0.15556359238125558,0.17620526423793526,0.18995018021320112
4,2022-07-01,0.13449534625200832,0.13962838467919747,0.16122066475415328,0.1781943854302349,0.18942776262455038
5,2022-08-01,0.1518896700328655,0.16160965640229094,0.1802645417944981,0.1881521741745508,0.19639304610509908
6,2022-09-01,0.16037133219447747,0.16186759575166904,0.16942445755164415,0.17683734247012464,0.1837228262467963
7,2022-10-01,0.14450460964982423,0.1438242598175973,0.15202127361264875,0.1576372636041803,
8,2022-11-01,0.1462633723275151,0.14374980599216552,0.1412840061529843,0.14694504804930061,
9,2022-12-01,0.1356160283225746,0.12782698601651188,0.13185444529760826,0.13535170268868937,
10,2023-01-01,0.1457329986880242,0.11771137259312736,0.11712985276323332,,
11,2023-02-01,0.12972480848519582,0.11253952717120697,0.11482469157427218,,
12,2023-03-01,0.1296160476272419,0.11404426031652665,0.11599594870604872,,
13,2023-04-01,0.11164134837977482,0.10782233859482743,,,
14,2023-05-01,0.11355581591244518,0.10192801627801037,,,
15,2023-06-01,0.10795718822885644,0.0997898925996799,,,
16,2023-07-01,0.11388241163407263,,,,
17,2023-08-01,0.14095864615017764,,,,
