,cutoff,1m Error,3m Error,6m Error,9m Error,12m Error
0,2022-03-01,0.20222226737537183,0.1630557509392908,0.15582663626159446,0.15316647114022372,0.15381565486313903
1,2022-04-01,0.18273237935115721,0.15651487723795604,0.15058274377113667,0.15121767257763194,0.1534392561605002
2,2022-05-01,0.15015929752880208,0.15773517032308054,0.15486734497922572,0.1590009329979246,0.156137534719722
3,2022-06-01,0.19555677445214134,0.1624124629502163,0.16589056756671575,0.16755500328522474,0.16180636387555175
4,2022-07-01,0.18465458782133748,0.1648313587000493,0.1689103261939903,0.17173505755119906,0.16082041746505146
5,2022-08-01,0.17916608308335139,0.18041566044792698,0.18483759137668632,0.17758659011533962,0.16519181282735618
6,2022-09-01,0.20055455700528033,0.2006350816121465,0.19574910026728207,0.1818548508617102,0.16149560356195092
7,2022-10-01,0.21386733867964206,0.1993412175412224,0.19447665818186188,0.17499132225464833,
8,2022-11-01,0.2232632979614569,0.2090550638553503,0.1874758145688979,0.17091887062575734,
9,2022-12-01,0.1997416976886651,0.20210739778517547,0.18220863965819276,0.15723870205222207,
10,2023-01-01,0.26104779258021604,0.20299255975461503,0.17234982225047699,,
11,2023-02-01,0.21241759465035057,0.18159697360514188,0.1624449000108815,,
12,2023-03-01,0.2002269820099151,0.17497173463120372,0.14763947302290287,,
13,2023-04-01,0.18372546114305383,0.15625552195006814,,,
14,2023-05-01,0.1915932377927371,0.1568629844637105,,,
15,2023-06-01,0.14748707625137425,0.13461066629980128,,,
16,2023-07-01,0.18810198068700038,,,,
17,2023-08-01,0.15955066276337382,,,,
